waypoint number       time [s]              PosX [mm]             PosY [mm]             PosZ [mm]             Roll [degrees]        Pitch [degrees]       Yaw [degrees]         Cycle time [ms]       
157                   1.580150490522907     24.836120401337794    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
158                   1.590151442994571     24.993311036789297    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
159                   1.600152395466235     25.150501672240804    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
160                   1.6101533479378989    25.30769230769231     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
161                   1.6201543004095629    25.464882943143813    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
162                   1.6301552528812269    25.62207357859532     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
163                   1.6401562053528906    25.779264214046822    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
164                   1.6501571578245546    25.93645484949833     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
165                   1.6601581102962186    26.093645484949835    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
166                   1.6701590627678826    26.25083612040134     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
167                   1.6801600152395466    26.408026755852845    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
168                   1.6901609677112106    26.565217391304348    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
169                   1.7001619201828746    26.722408026755854    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
170                   1.7101628726545386    26.87959866220736     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
171                   1.7201638251262024    27.036789297658864    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
172                   1.7301647775978664    27.19397993311037     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
173                   1.7401657300695303    27.351170568561873    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
174                   1.7501666825411943    27.50836120401338     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
175                   1.7601676350128583    27.665551839464882    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
176                   1.7701685874845223    27.82274247491639     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
177                   1.7801695399561863    27.979933110367895    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
178                   1.7901704924278503    28.137123745819398    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
179                   1.8001714448995143    28.294314381270905    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
180                   1.810172397371178     28.451505016722408    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
181                   1.820173349842842     28.608695652173914    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
